riesgo,mes_pago,total_mes,prom_riesgo,gap
Bajo,2025-02-01T00:00:00Z,1269.46,835.0633333333334,434.39666666666665
Bajo,2025-03-01T00:00:00Z,775.77,835.0633333333334,-59.29333333333341
Bajo,2025-04-01T00:00:00Z,2132.38,835.0633333333334,1297.3166666666666
Bajo,2025-05-01T00:00:00Z,342.98,835.0633333333334,-492.08333333333337
Bajo,2025-06-01T00:00:00Z,349.02,835.0633333333334,-486.0433333333334
Bajo,2025-07-01T00:00:00Z,140.77,835.0633333333334,-694.2933333333334
Medio,2025-07-01T00:00:00Z,252.25,252.25,0
Alto,2025-03-01T00:00:00Z,994.6800000000001,678.78,315.9000000000001
Alto,2025-06-01T00:00:00Z,442.97999999999996,678.78,-235.8
Alto,2025-07-01T00:00:00Z,598.6800000000001,678.78,-80.09999999999991
